Institute,Ranking,Location,ShortDescription,LongDescription,ApplicationDeadline_Masters,ApplicationDeadline_Phd,Application_Fees_US_Resident,Application_Fees_International_Resident,Admissions_Phone,Admissions_Email,Application_URL,Website,FullTimeFaculty,Phd_Student_Ratio,FemalePercentage,MalePercentage,Tuition_masters_full_time,Tuition_masters_part_time,Tuition_doctoral_full_time,Page_URL
University of Connecticut,#69," • Storrs, CT","The School of Engineering at University of Connecticut has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $17,532 per year (in-state); full-time: $39,444 per year (out-of-state); part-time: $974 per credit (in-state); and part-time: $2,192 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.2:1. The School of Engineering at University of Connecticut has 159 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementStorrs, CTExplore Map", N/A, N/A, $75, $75, (860) 486-0974,gradschool@uconn.edu,http://www.grad.uconn.edu/,http://www.uconn.edu/, 159, 3.2:1,36.7%,63.3%,"$17,532 per year (in-state)",$974 per credit (in-state),"$17,532 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-connecticut-02036
Lehigh University (Rossin),#71," • Bethlehem, PA","The P.C. Rossin College of Engineering and Applied Science at Lehigh University (Rossin) has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $1,500 per credit and part-time: $1,500 per credit. The 2021 Ph.D. student-faculty ratio is 2.6:1. The P.C. Rossin College of Engineering and Applied Science at Lehigh University (Rossin) has 116 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementBethlehem, PAExplore Map", 07/15, 01/15, $75, $75, (610) 758-6310,graduate.engineering@lehigh.edu,https://www.applyweb.com/lehighg/index.ftl,https://engineering.lehigh.edu/, 116, 2.6:1,29.6%,70.4%," $1,500 per credit"," $1,500 per credit"," $1,500 per credit",https://www.usnews.com/best-graduate-schools/top-engineering-schools/lehigh-university-02154
,,,"The Cullen College of Engineering at University of Houston (Cullen) has a rolling application deadline. The application fee is $50 for U.S. residents and $80 for international students. Its tuition is full-time: $9,886 per year (in-state); full-time: $18,748 per year (out-of-state); part-time: $6,624 per year (in-state); and part-time: $12,561 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.2:1. The Cullen College of Engineering at University of Houston (Cullen) has 172 full-time faculty on staff.","Message from  the UniversityVideo Player is loading.Play VideoPlayUnmuteLoaded: 0.00%0:00Current Time 0:00/Duration 4:27Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.Houston, TXExplore MapApply Now", 05/15, 05/15, $50, $80, (713) 743-4200,mavernon-harrison@uh.edu,http://www.applyweb.com/,http://www.egr.uh.edu/, 172, 3.2:1,28.2%,71.8%,"$9,886 per year (in-state)","$6,624 per year (in-state)","$9,886 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-houston-02176
Clemson University,#73," • Clemson, SC","The College of Engineering, Computing and Applied Sciences at Clemson University has a rolling application deadline. The application fee is $80 for U.S. residents and $90 for international students. Its tuition is full-time: $10,858 per year (in-state); full-time: $22,566 per year (out-of-state); part-time: $743 per credit (in-state); and part-time: $1,488 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.5:1. The College of Engineering, Computing and Applied Sciences at Clemson University has 243 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementClemson, SCExplore Map", N/A, N/A, $80, $90, (864) 656-2561,grdapp@clemson.edu,https://www.applyweb.com/clemsong/index.ftl,http://www.grad.clemson.edu/, 243, 2.5:1,24.2%,75.8%,"$10,858 per year (in-state)",$743 per credit (in-state),"$10,112 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/clemson-university-02161
Oregon State University,#73," • Corvallis, OR","The application fee is $75 for U.S. residents and $85 for international students. Its tuition is full-time: $15,570 per year (in-state); full-time: $29,421 per year (out-of-state); part-time: $557 per credit (in-state); and part-time: $1,070 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.3:1. The College of Engineering at Oregon State University has 200 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementCorvallis, ORExplore Map", 02/01, 02/01, $75, $85, (541) 737-4881,graduate.school@oregonstate.edu,https://oregonstate.force.com/AppLogin,https://gradschool.oregonstate.edu/, 200, 2.3:1,26.3%,73.7%,"$15,570 per year (in-state)",$557 per credit (in-state),"$15,570 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/oregon-state-university-02150
University of Central Florida,#73," • Orlando, FL","The College of Engineering and Computer Science at University of Central Florida has a rolling application deadline. The application fee is $32 for U.S. residents and $32 for international students. Its tuition is full-time: $288 per credit (in-state); full-time: $1,073 per credit (out-of-state); part-time: $288 per credit (in-state); and part-time: $1,073 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.7:1. The College of Engineering and Computer Science at University of Central Florida has 168 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementOrlando, FLExplore Map", 07/01, 07/01, $32, $32, (407) 823-2455,gradengr@ucf.edu,https://applynow.graduate.ucf.edu/apply/,http://www.cecs.ucf.edu/future-students/admissions-graduate-students/, 168, 3.7:1,30.1%,69.9%,$288 per credit (in-state),$288 per credit (in-state),$288 per credit (in-state),https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-central-florida-02045
University of Iowa,#73," • Iowa City, IA","The College of Engineering at University of Iowa has a rolling application deadline. The application fee is $60 for U.S. residents and $100 for international students. Its tuition is full-time: $10,432 per year (in-state) and full-time: $29,379 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 2:1. The College of Engineering at University of Iowa has 108 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementIowa City, IAExplore Map", N/A, N/A, $60, $100, (319) 335-1525,admissions@uiowa.edu,http://www.uiowa.edu/admissions/graduate/apply/index.html,http://www.uiowa.edu/admissions/graduate/index.html, 108, 2:1,27.6%,72.4%,"$10,432 per year (in-state)", N/A,"$10,432 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-iowa-02061
University of Illinois--Chicago,#77," • Chicago, IL","The College of Engineering at University of Illinois--Chicago has a rolling application deadline. The application fee is $70 for U.S. residents and $160 for international students. Its tuition is full-time: $16,298 per year (in-state); full-time: $29,166 per year (out-of-state); part-time: $10,866 per year (in-state); and part-time: $19,444 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.6:1. The College of Engineering at University of Illinois--Chicago has 137 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementChicago, ILExplore Map", 05/15, 05/15, $70, $160, (312) 996-4350,uicgrad@uic.edu,https://admissions.uic.edu/graduate-professional/contact-graduate-and-professional-admissions,http://www.uic.edu/, 137, 3.6:1,23.8%,76%,"$16,298 per year (in-state)","$10,866 per year (in-state)","$11,870 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-illinois-chicago-02056
Washington State University (Voiland),#77," • Pullman, WA","The Voiland College of Engineering and Architecture at Washington State University (Voiland) has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $6,308 per year (in-state); full-time: $13,533 per year (out-of-state); part-time: $630 per credit (in-state); and part-time: $1,326 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.6:1. The Voiland College of Engineering and Architecture at Washington State University (Voiland) has 128 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementPullman, WAExplore Map", 01/31, 01/31, $75, $75, (509) 335-1446,gradsch@wsu.edu,https://www.applyweb.com/apply/wsug/,http://www.vcea.wsu.edu/, 128, 2.6:1,22.2%,77.8%,"$6,308 per year (in-state)",$630 per credit (in-state),"$6,308 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/washington-state-university-02189
Colorado State University (Scott),#79," • Fort Collins, CO","The College of Engineering at Colorado State University (Scott) has a rolling application deadline. The application fee is $60 for U.S. residents and $70 for international students. Its tuition is full-time: $602 per credit (in-state); full-time: $1,476 per credit (out-of-state); part-time: $602 per credit (in-state); and part-time: $1,476 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.5:1. The College of Engineering at Colorado State University (Scott) has 141 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementFort Collins, COExplore Map", 04/01, 04/01, $60, $70, (970) 491-6817,gradschool@colostate.edu,http://graduateschool.colostate.edu/apply,http://graduateschool.colostate.edu/, 141, 2.5:1,28.9%,71.1%,$602 per credit (in-state),$602 per credit (in-state),$602 per credit (in-state),https://www.usnews.com/best-graduate-schools/top-engineering-schools/colorado-state-university-02031
